X,Y,OBJECTID,APPLICATION_NUMBER,STREET_NUMBER,STREET_NAME,POSTAL_CODE,APP_SUBMITTED_DATE,APP_STATUS,DECISION_DATE,APPEALED,THIRD_PARTY_APPEAL,APPEAL_TYPE,APPEAL_DATE,APPEAL_DECISION_DATE,SE_ANNO_CAD_DATA
590425.088522662,4790209.06617699,77,HM/A-23:218,392,MAIN ST W HAMILTON,L8P 1K4,2023/08/09 04:00:00+00,,,,,,,,
603356.63566684,4777472.10252713,78,GL/A-23:217,347,GOLF CLUB RD  GLANBROOK,L0R 1P0,2023/08/09 04:00:00+00,Variance Granted,2023/09/07 04:00:00+00,No,,,,,
604072.00307333,4786834.32713628,79,SC/A-23:219,421,BARTON ST  STONEY CREEK,L8E 2L4,2023/08/09 04:00:00+00,Variance Granted,2023/09/07 04:00:00+00,No,,,,,
590924.556772436,4789705.71986786,80,HM/A-23:220,203,BOLD ST  HAMILTON,L8P 1V7,2023/08/10 04:00:00+00,Variance Granted,2023/09/21 04:00:00+00,No,,,,,
598395.873067201,4781957.40683652,81,SC/A-23:221,33,SIDNEY CRES  STONEY CREEK,L8J 3W1,2023/08/11 04:00:00+00,Variance Granted,2023/09/21 04:00:00+00,No,,,,,
594374.229795963,4790133.67545108,82,HM/A-23:222,41,EARL ST  HAMILTON,L8L 6L1,2023/08/11 04:00:00+00,Variance Granted,2023/09/07 04:00:00+00,No,,,,,
597989.862519171,4794048.21156903,83,HM/A-23:223,1077,BEACH BLVD  HAMILTON,L8H 6Z9,2023/08/11 04:00:00+00,Variance Granted,2023/09/07 04:00:00+00,No,,,,,
594722.798952165,4789471.70787507,84,HM/A-23:224,825,CANNON ST E HAMILTON,L8L 2H3,2023/08/14 04:00:00+00,Variance Granted,2023/09/21 04:00:00+00,No,,,,,
592848.491036035,4791355.40676059,85,HM/A-23:225,169,MACAULAY ST E HAMILTON,L8L 3X5,2023/08/14 04:00:00+00,Variance Granted,2023/09/21 04:00:00+00,No,,,,,
590734.211832139,4791125.15992603,86,HM/A-23:226,95,INCHBURY ST  HAMILTON,L8R 3B7,2023/08/16 04:00:00+00,Variance Granted,2023/09/21 04:00:00+00,No,,,,,
593279.419803708,4784545.54907316,87,HM/A-23:227,99,ROBSON CRES  HAMILTON,L8W 1V6,2023/08/17 04:00:00+00,Variance Granted,2023/09/21 04:00:00+00,No,,,,,
595637.591447406,4790062.15892112,88,HM/A-23:228,154,BEACH RD  HAMILTON,L8L 4A3,2023/08/17 04:00:00+00,Variance Granted,2023/09/21 04:00:00+00,No,,,,,
587455.517313447,4789160.37655861,89,HM/A-23:229,253,EMERSON ST  HAMILTON,L8S 2Y5,2023/08/17 04:00:00+00,Variance Granted,2023/09/21 04:00:00+00,No,,,,,
599356.14275266,4788585.22643702,90,HM/A-23:230,304,VANSITMART AVE  HAMILTON,L8H 3B6,2023/08/21 04:00:00+00,Variance Granted,2023/09/21 04:00:00+00,No,,,,,
